#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
76,Merrill Kelly,ARI,7,6,4.11,18,18,0,0,,105,452,102,53,48,13,35,,5,97
77,Ryan Weathers,MIA,4,4,4.06,20,16,0,0,,94,409,90,47,43,12,35,,4,92
78,Grant Holmes,ATL,2,2,4.06,21,16,0,0,,101,431,95,50,46,13,35,,5,101
79,Shane McClanahan,TBR,4,3,3.31,14,9,0,0,,60,244,52,24,22,7,17,,1,65
80,Casey Mize,DET,6,6,4.04,17,17,0,0,,86,366,84,42,38,11,25,,4,75
81,Reese Olson,DET,5,4,3.66,14,14,0,0,,70,300,64,31,29,7,24,,3,69
82,Will Warren,NYY,3,3,4.03,28,14,0,0,,89,381,82,44,40,11,33,,4,90
83,Luis L. Ortiz,CLE,4,4,4.19,22,17,0,0,,105,457,101,53,49,12,42,,5,96
84,David Festa,MIN,2,2,3.88,23,12,0,0,,78,333,71,37,34,10,29,,4,83
85,Kumar Rocker,TEX,4,4,3.84,25,12,0,0,,71,299,66,33,30,9,22,,3,71
86,Max Scherzer,TOR,4,4,3.99,19,14,0,0,,83,342,73,40,37,13,24,,3,83
87,Andre Pallante,STL,3,3,4.2,25,16,0,0,,100,434,102,51,47,8,39,,5,76
88,Emmanuel Clase,CLE,2,2,2.75,42,0,19,2,,42,168,34,14,13,3,10,,2,43
89,Max Meyer,MIA,4,3,4.12,19,14,0,0,,79,340,78,39,36,10,26,,4,76
90,Pablo López,MIN,4,3,3.7,9,9,0,0,,53,221,49,24,22,7,13,,2,55
91,Matthew Liberatore,STL,2,2,4.05,28,15,0,0,,92,392,89,45,41,11,29,,4,83
92,Shota Imanaga,CHC,6,5,4.03,15,15,0,0,,89,369,82,44,40,14,21,,4,82
93,Andrés Muñoz,SEA,2,2,2.41,40,0,19,2,,40,167,28,12,11,3,16,,2,54
94,Davis Martin,CHW,5,6,4.41,16,16,0,0,,79,345,80,42,39,11,27,,4,66
95,Griffin Jax,MIN,2,2,2.83,41,0,1,9,,41,168,33,14,13,4,12,,2,50
96,Shane Baz,TBR,4,4,4.01,24,16,0,0,,93,396,83,45,42,12,36,,4,90
97,Jameson Taillon,CHC,6,6,4.19,18,18,0,0,,103,436,101,52,48,16,25,,4,86
98,Edwin Díaz,NYM,2,2,2.57,40,0,22,1,,40,162,27,13,11,4,16,,2,56
99,Ben Brown,CHC,2,2,3.65,24,12,0,0,,73,310,62,32,30,9,29,,3,82
100,Landen Roupp,SFG,3,3,3.81,21,15,0,0,,83,357,76,39,35,9,33,,4,84
