Scoring Period,Away,Home
9,Milwaukee Brewers,Los Angeles Angels
9,Milwaukee Brewers,Philadelphia Phillies
9,Houston Astros,Arizona Diamondbacks
9,Houston Astros,New York Yankees
9,Houston Astros,Los Angeles Angels
9,Saint Louis Cardinals,Los Angeles Angels
9,Saint Louis Cardinals,Philadelphia Phillies
9,Saint Louis Cardinals,Cincinnati Reds
9,Minnesota Twins,Baltimore Orioles
9,Minnesota Twins,Boston Red Sox
9,Minnesota Twins,San Diego Padres
9,Washington Nationals,New York Yankees
9,Washington Nationals,Toronto Blue Jays
9,Washington Nationals,Athletics
9,Chicago White Sox,Toronto Blue Jays
9,Chicago White Sox,Athletics
9,Chicago White Sox,Cleveland Guardians
9,Chicago Cubs,Philadelphia Phillies
9,Chicago Cubs,Cincinnati Reds
9,Miami Marlins,Baltimore Orioles
9,Miami Marlins,Boston Red Sox
9,Miami Marlins,Pittsburgh Pirates
9,Tampa Bay Rays,Boston Red Sox
9,Tampa Bay Rays,Pittsburgh Pirates
9,Tampa Bay Rays,Los Angeles Dodgers
9,Cincinnati Reds,New York Mets
9,Atlanta Braves,Arizona Diamondbacks
9,Atlanta Braves,New York Yankees
9,Atlanta Braves,Athletics
9,San Francisco Giants,Detroit Tigers
9,San Francisco Giants,New York Mets
9,San Francisco Giants,Colorado Rockies
9,Cleveland Guardians,Toronto Blue Jays
9,Cleveland Guardians,San Diego Padres
10,Baltimore Orioles,Kansas City Royals
10,Baltimore Orioles,Texas Rangers
10,Baltimore Orioles,Tampa Bay Rays
10,Arizona Diamondbacks,Saint Louis Cardinals
10,Arizona Diamondbacks,Chicago Cubs
10,Arizona Diamondbacks,New York Mets
10,Minnesota Twins,Kansas City Royals
10,Minnesota Twins,Miami Marlins
10,Minnesota Twins,Tampa Bay Rays
10,New York Yankees,Milwaukee Brewers
10,New York Yankees,Saint Louis Cardinals
10,New York Yankees,Chicago Cubs
10,Los Angeles Angels,Chicago Cubs
10,Los Angeles Angels,New York Mets
10,Los Angeles Angels,Colorado Rockies
10,Chicago White Sox,Washington Nationals
10,Chicago White Sox,Atlanta Braves
10,Philadelphia Phillies,New York Mets
10,Boston Red Sox,Kansas City Royals
10,Boston Red Sox,Texas Rangers
10,Boston Red Sox,San Francisco Giants
10,Detroit Tigers,Seattle Mariners
10,Detroit Tigers,Philadelphia Phillies
10,Detroit Tigers,Cincinnati Reds
10,Miami Marlins,Tampa Bay Rays
10,Toronto Blue Jays,Milwaukee Brewers
10,Toronto Blue Jays,Houston Astros
10,Toronto Blue Jays,Atlanta Braves
10,Pittsburgh Pirates,Seattle Mariners
10,Pittsburgh Pirates,Texas Rangers
10,Pittsburgh Pirates,San Francisco Giants
10,Los Angeles Dodgers,Seattle Mariners
10,Los Angeles Dodgers,Cincinnati Reds
10,Los Angeles Dodgers,San Francisco Giants
10,Colorado Rockies,Philadelphia Phillies
10,Colorado Rockies,Cincinnati Reds
10,San Diego Padres,Washington Nationals
10,San Diego Padres,Chicago White Sox
10,San Diego Padres,Miami Marlins
10,Athletics,Milwaukee Brewers
10,Athletics,Houston Astros
10,Athletics,Saint Louis Cardinals
10,Cleveland Guardians,Houston Astros
10,Cleveland Guardians,Washington Nationals
10,Cleveland Guardians,Atlanta Braves
11,Seattle Mariners,Baltimore Orioles
11,Seattle Mariners,Minnesota Twins
11,Seattle Mariners,Boston Red Sox
11,Kansas City Royals,Miami Marlins
11,Kansas City Royals,Tampa Bay Rays
11,Kansas City Royals,San Diego Padres
11,Texas Rangers,Minnesota Twins
11,Texas Rangers,Miami Marlins
11,Texas Rangers,Tampa Bay Rays
11,Milwaukee Brewers,Washington Nationals
11,Milwaukee Brewers,Chicago White Sox
11,Milwaukee Brewers,Cleveland Guardians
11,Houston Astros,Washington Nationals
11,Houston Astros,Chicago White Sox
11,Houston Astros,Atlanta Braves
11,Saint Louis Cardinals,Chicago White Sox
11,Saint Louis Cardinals,Toronto Blue Jays
11,Saint Louis Cardinals,Cleveland Guardians
11,Arizona Diamondbacks,Los Angeles Dodgers
11,Los Angeles Angels,Detroit Tigers
11,Los Angeles Angels,Pittsburgh Pirates
11,Los Angeles Angels,Los Angeles Dodgers
11,Philadelphia Phillies,Boston Red Sox
11,Philadelphia Phillies,Pittsburgh Pirates
11,Philadelphia Phillies,Los Angeles Dodgers
11,Detroit Tigers,Arizona Diamondbacks
11,Detroit Tigers,New York Yankees
11,Chicago Cubs,Toronto Blue Jays
11,Chicago Cubs,Athletics
11,Chicago Cubs,Cleveland Guardians
11,New York Mets,New York Yankees
11,New York Mets,Toronto Blue Jays
11,New York Mets,Athletics
11,Tampa Bay Rays,San Diego Padres
11,Cincinnati Reds,Baltimore Orioles
11,Cincinnati Reds,Boston Red Sox
11,Cincinnati Reds,Pittsburgh Pirates
11,Colorado Rockies,Arizona Diamondbacks
11,Colorado Rockies,New York Yankees
11,Colorado Rockies,Athletics
11,Atlanta Braves,Washington Nationals
11,Atlanta Braves,San Diego Padres
11,San Francisco Giants,Baltimore Orioles
11,San Francisco Giants,Minnesota Twins
11,San Francisco Giants,Miami Marlins
12,Kansas City Royals,Seattle Mariners
12,Kansas City Royals,Texas Rangers
12,Kansas City Royals,San Francisco Giants
12,Texas Rangers,San Francisco Giants
12,Baltimore Orioles,Arizona Diamondbacks
12,Baltimore Orioles,Los Angeles Angels
