#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
482,Jakob Marsee,MIA,5,21,18,4,1,0,0,2,1,3,5,0,1,0,12.50%,25.50%,0.112,0.273,0.207,0.32,0.32,0.64,0.291,83,999
483,Manuel Margot,MIL,13,56,51,13,3,0,1,6,5,4,9,0,1,0,7.00%,16.80%,0.112,0.287,0.25,0.306,0.362,0.668,0.294,87,743.6
484,Everson Pereira,NYY,6,28,26,6,1,0,1,3,3,2,9,0,1,0,7.10%,32.60%,0.174,0.301,0.224,0.286,0.398,0.684,0.297,93,750.8
485,Keston Hiura,COL,3,14,13,3,1,0,1,1,2,1,4,0,0,0,6.70%,30.50%,0.222,0.33,0.259,0.325,0.481,0.806,0.346,109,744.3
486,Jahmai Jones,DET,5,21,18,4,1,0,0,2,2,2,5,0,1,0,10.30%,25.50%,0.137,0.29,0.225,0.316,0.362,0.678,0.301,97,999
487,Cavan Biggio,KCR,5,21,18,4,1,0,0,2,2,3,5,0,0,0,12.70%,25.70%,0.119,0.287,0.218,0.33,0.337,0.667,0.302,92,999
488,Rowdy Tellez,SEA,5,21,19,4,1,0,1,2,3,2,5,0,0,0,8.30%,22.50%,0.183,0.265,0.234,0.301,0.417,0.718,0.311,109,728
489,Tommy Pham,PIT,104,448,405,96,19,2,11,45,41,37,106,3,9,4,8.30%,23.70%,0.133,0.292,0.236,0.303,0.369,0.672,0.296,86,416.6
490,Adael Amador,COL,6,28,25,6,1,0,1,3,2,3,6,0,1,0,10.20%,19.80%,0.131,0.275,0.235,0.317,0.367,0.683,0.303,80,684
491,Nathan Lukes,TOR,15,63,58,14,3,0,1,7,5,4,12,1,1,0,6.90%,19.30%,0.099,0.299,0.247,0.303,0.346,0.65,0.287,87,745.2
492,Brett Harris,ATH,5,21,19,4,1,0,0,2,2,2,5,0,0,0,8.70%,22.00%,0.108,0.269,0.218,0.3,0.326,0.626,0.281,85,999
493,Pablo Reyes,NYY,8,35,32,7,1,0,1,4,3,3,7,0,1,0,8.20%,19.90%,0.109,0.27,0.228,0.293,0.337,0.63,0.279,80,999
494,Tyler Wade,SDP,21,91,81,18,3,0,1,8,6,7,21,1,5,1,8.20%,22.90%,0.072,0.287,0.221,0.292,0.294,0.586,0.265,72,750
495,Whit Merrifield,,42,182,166,39,7,0,2,19,16,13,32,1,7,2,7.30%,17.40%,0.092,0.275,0.235,0.294,0.327,0.621,0.276,77,741
496,Nasim Nuñez,WSN,5,21,18,4,1,0,0,2,1,2,5,0,2,0,11.80%,21.70%,0.052,0.29,0.222,0.314,0.274,0.587,0.27,72,750.5
497,Ji Hwan Bae,PIT,3,14,13,3,1,0,0,2,1,1,3,0,1,0,9.10%,23.30%,0.101,0.321,0.249,0.319,0.35,0.67,0.297,87,749.3
498,Adam Frazier,PIT,53,231,208,50,10,1,3,22,17,17,37,3,4,2,7.40%,16.10%,0.098,0.276,0.238,0.304,0.336,0.64,0.285,79,743.2
499,Wade Meckler,SFG,3,14,13,3,1,0,0,2,1,1,3,0,0,0,8.50%,22.40%,0.099,0.318,0.251,0.315,0.35,0.665,0.295,90,750.5
500,Enmanuel Valdez,PIT,3,14,13,3,1,0,0,1,2,1,3,0,0,0,8.80%,24.20%,0.169,0.273,0.23,0.299,0.399,0.698,0.304,92,749.2
501,Bryan Ramos,CHW,28,119,109,24,5,0,3,10,11,8,28,2,1,0,6.40%,23.90%,0.14,0.268,0.223,0.282,0.363,0.645,0.283,82,655.7
502,Kameron Misner,TBR,6,28,24,5,1,0,1,3,3,3,10,0,1,0,11.40%,34.60%,0.138,0.292,0.198,0.293,0.336,0.629,0.281,86,999
503,Brady House,WSN,8,35,33,8,1,0,1,3,3,1,10,0,0,0,3.80%,28.00%,0.132,0.302,0.235,0.272,0.367,0.639,0.278,77,999
504,Austin Shenton,SEA,8,35,31,6,1,0,1,4,4,4,11,0,0,0,10.50%,32.80%,0.153,0.285,0.206,0.294,0.359,0.653,0.289,93,750.3
505,Nick Maton,CHW,3,14,12,3,1,0,0,1,1,2,3,0,0,0,10.80%,24.60%,0.138,0.272,0.218,0.31,0.356,0.666,0.296,92,999
506,Brewer Hicklen,MIL,6,28,25,5,1,0,1,3,3,2,10,1,2,0,8.70%,34.20%,0.168,0.275,0.198,0.285,0.366,0.651,0.288,83,999
507,Garrett Stubbs,PHI,5,19,17,4,1,0,0,2,1,2,5,0,0,0,9.30%,25.10%,0.091,0.28,0.213,0.294,0.304,0.598,0.27,71,999
508,Jake Bauers,MIL,6,28,25,5,1,0,1,3,3,3,9,0,1,0,11.10%,31.90%,0.184,0.276,0.21,0.302,0.394,0.697,0.305,95,714.9
