Rank,Name,Position,MLB Team,Unique score,,,
333,Brailyn Antunez,CF,NYY,5.19,,,
334,Alex Mooney,SS,NYM,5.18,,,
335,Connor Prielipp,SP,MIL,5.16,,,
336,Rainiel Rodriguez,SS,STL,5.16,,,
337,Braylin Tavera,LF,MIN,5.14,,,
338,George Wolkow,RF,LAD,5.12,,,
339,Jean Cabrera,SP,LAD,5.09,,,
340,Jose Anderson,CF,LAD,5.09,,,
341,Austin Charles,3B,LAD,5.08,,,
342,Deyvison De Los Santos,1B,CWS,5.07,,,
343,Emiliano Teodo,SP,TOR,5.07,,,
344,Carson Palmquist,SP,KC,5.07,,,
345,Payton Tolle,SP,TOR,5.06,,,
346,Wilmer Flores,SP,,5.06,,,
347,Aidan Curry,SP,SEA,5.06,,,
348,Mikey Romero,SS,BOS,5.04,,,
349,Troy Melton,SP,MIL,5.03,,,
350,Cutter Coffey,SS,TOR,5.00,,,
351,Shotaro Morii,SS,TB,4.97,,,
352,Parker Messick,SP,COL,4.96,,,
353,Dante Nori,CF,KC,4.94,,,
354,Jordy Vargas,SP,MIA,4.93,,,
355,Kendall George,CF,NYY,4.91,,,
356,Jedixson Paez,SP,LAA,4.89,,,
357,Zach Maxwell,SP,TEX,4.89,,,
358,Isaish Lowe,SP,WSH,4.88,,,
359,Chase Harlan,3B,OAK,4.88,,,
360,Chase Harlan,3B,,4.88,,,
361,Juan Brito,2B,CWS,4.88,,,
362,Pedro Catuy,SS,,4.88,,,
363,Ricardo Olivar,C,SD,4.87,,,
364,Jhonny Level,SS,TB,4.87,,,
365,Rodney Green,CF,,4.86,,,
366,Zach Cole Jr.,RF,,4.82,,,
367,Jud Fabian,LF,LAA,4.82,,,
368,Sean Sullivan,SP,TOR,4.81,,,
369,Tommy Troy,SS,DET,4.80,,,
370,Hunter Dobbins,SP,SF,4.80,,,
371,Dominic Keegan,1B,TEX,4.79,,,
372,Victor Lizarraga,SP,TB,4.79,,,
373,Griff O'Ferral,SS,NYY,4.78,,,
374,Luke Holman,SP,LAA,4.76,,,
375,Gunnar Hoglund,SP,CLE,4.76,,,
376,Billy Amick,3B,KC,4.76,,,
377,Robert Arias,CF,,4.75,,,
378,Chase Allsup,SP,,4.74,,,
379,Hurston Waldrep,SP,MIN,4.74,,,
380,Yassel Soler,3B,CWS,4.73,,,
381,Nehomar Ochoa,LF,MIN,4.73,,,
382,Aldrin Batista,SP,ARI,4.73,,,
383,Matthew Etzel,LF,COL,4.73,,,
384,Cole Messina,C,NYM,4.71,,,
385,Alfonsin Rosario,CF,MIN,4.71,,,
386,Matt Koperniak,CF,SD,4.71,,,
387,Tommy White,3B,KC,4.70,,,
388,Abimelec Ortiz,1B,PHI,4.70,,,
389,Emilien Pitre,2B,NYY,4.70,,,
390,Cole Mathis,1B,SF,4.69,,,
391,Joseph Montalvo,SP,TOR,4.67,,,
392,Brock Porter,SP,,4.66,,,
393,Luis Lara,CF,CLE,4.61,,,
394,Hiro Wyatt,SP,NYM,4.60,,,
395,Jonah Tong,SP,TB,4.60,,,
396,Ramon Ramirez,C,LAD,4.58,,,
397,Jack Leiter,SP,BOS,4.58,,,
398,Brandon Barriera,SP,MIL,4.57,,,
399,Yohandy Morales,1B,BOS,4.57,,,
400,K.C. Hunt,SP,SF,4.57,,,
401,Jhostynxon Garcia,CF,CWS,4.56,,,
402,Elmer Rodriguez-Cruz,SP,NYM,4.51,,,
403,Jose Perdomo,SS,TB,4.49,,,
404,Carlson Reed,SP,WSH,4.48,,,
405,Edgleen Perez,C,PHI,4.46,,,
406,Chase Meidroth,3B,ATL,4.45,,,
407,Thatcher Hurd,SP,,4.42,,,
408,Teddy McGraw,SP,CIN,4.40,,,
409,Teddy McGraw,SP,,4.40,,,
410,Dylan Smith,SP,CIN,4.40,,,
411,Devin Saltiban,2B,PHI,4.34,,,
412,Travis Honeyman,LF,COL,4.32,,,
413,Nick McLain,CF,,4.32,,,
414,Juneiker Caceres,RF,MIA,4.32,,,
415,Luis Guanipa,CF,CLE,4.20,,,
416,Joe Mack,C,BOS,4.20,,,
417,Doug Nikhazy,SP,NYM,4.18,,,
418,Michael Kennedy,SP,MIL,4.18,,,
419,Brando Mayea,CF,NYY,4.17,,,
420,Ryan Johnson,SP,COL,4.16,,,
421,Hao-Yu Lee,2B,STL,4.14,,,
422,Tjayy Walton,LF,BAL,4.14,,,
423,Fernando Perez,SP,DET,4.13,,,
424,Charles McAdoo,2B,SD,4.13,,,
425,Alexander Albertus,3B,CWS,4.12,,,
426,Rainiel Rodriguez,C,STL,4.12,,,
427,Adam Macko,SP,MIL,4.11,,,
428,Yordanny Monegro,SP,STL,4.11,,,
429,Joshua Kuroda-Grauer,SS,MIL,4.10,,,
430,Leonardo Pineda,CF,PHI,4.10,,,
431,Mac Horvath,3B,NYM,4.09,,,
432,Jacob Bresnahan,SP,,4.08,,,
433,Branneli Franco,SP,,4.05,,,
434,Walker Janek,C,CIN,4.05,,,
435,Blake Larson,SP,DET,4.04,,,
436,A.J. Blubaugh,SP,ATL,4.03,,,
437,Walbert Urena,SP,,4.03,,,
438,Kyle Karros,3B,MIL,4.00,,,
439,Brennen Davis,RF,,4.00,,,
440,Jakob Christian,1B,,3.99,,,
441,Peyton Pallette,SP,COL,3.98,,,
442,Jeral Perez,2B,ATL,3.98,,,
443,Jared Serna,2B,,3.96,,,
444,Will Taylor,CF,,3.95,,,
445,Gabriel Gonzalez,RF,LAA,3.95,,,
446,Gabriel Gonzalez,RF,ATL,3.95,,,
447,Nelfy Ynfante,SP,,3.94,,,
448,Ty Floyd,SP,CIN,3.91,,,
449,Elvin Garcia,SS,STL,3.91,,,
450,Patrick Reilly,SP,SF,3.88,,,
451,Brock Selvidge,SP,PHI,3.87,,,
452,Wikelman Gonazlez,SP,CHC,3.86,,,
453,Colin Houck,SS,TOR,3.84,,,
454,Jaxon Wiggins,SP,TB,3.84,,,
455,Samuel Zavala,RF,PIT,3.81,,,
456,Eriq Swan,SP,WSH,3.80,,,
457,Cristhian Vaquero,CF,ARI,3.80,,,
458,Matthew Lugo,SS,STL,3.76,,,
459,Mitch Jebb,2B,NYY,3.76,,,
460,Abrahan Ramirez,2B,,3.75,,,
461,Mike Boeve,1B,CLE,3.74,,,
462,Bo Davidson,LF,SEA,3.70,,,
463,Jadher Areinamo,2B,MIA,3.69,,,
464,Dasan Brown,CF,SD,3.68,,,
465,Jake Bennett,SP,WSH,3.68,,,
466,Rayne Doncon,3B,MIA,3.67,,,
467,Carlos Lagrange,SP,WSH,3.63,,,
468,Will Simpson,1B,NYM,3.63,,,
469,Daiber De Los Santos,SS,TEX,3.60,,,
470,Mick Abel,SP,CHC,3.59,,,
471,Jack Brannigan,3B,WSH,3.58,,,
472,Jacob Gonzalez,SS,LAA,3.52,,,
473,Nick Nastrini,SP,COL,3.51,,,
474,Gabriel Rincones Jr.,CF,NYM,3.51,,,
