#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
2537,Luis Curvelo,TEX,0,13,13,1,1,0,0,1,12,6,2,12,5,8.21,3.73,2.2,1.32,0.24,1.34,0.278,70.50%,4.44,4.63,999
2538,Julian Fernández,LAD,0,1,1,0,0,0,0,0,1,1,0,1,0,7.45,4.15,1.79,1.49,0.245,1.49,0.269,72.80%,4.72,5.2,999
2539,Ryan Weiss,,0,1,1.2,0,0,0,0,0,2,1,0,1,1,7.02,4.11,1.71,1.2,0.268,1.57,0.302,70.10%,4.94,4.86,999
2540,Tyson Neighbors,SDP,0,1,1,0,0,0,0,0,1,1,0,1,1,10.75,5.4,1.99,1.63,0.238,1.74,0.28,80.20%,4.52,5.11,999
2541,Tristan Stivors,CHW,0,1,1.1,0,0,0,0,0,1,1,0,1,1,7.92,5.63,1.41,1.17,0.252,1.59,0.297,69.10%,5.1,5.14,999
2542,Tommy Molsky,KCR,0,1,1.2,0,0,0,0,0,2,1,0,1,1,7.37,3.93,1.88,1.31,0.267,1.55,0.301,70.50%,4.96,4.88,999
2543,Blake Goldsberry,,0,1,1.1,0,0,0,0,0,1,1,0,1,1,6.97,4.36,1.6,1.43,0.267,1.55,0.297,67.40%,5.39,5.29,999
2544,Nicky Lopez,CHC,0,1,1,0,0,0,0,0,1,1,0,1,1,11.22,5.04,2.23,1.74,0.247,1.92,0.287,83.90%,4.42,5.06,999
2545,Cameron Pferrer,SFG,0,1,1.1,0,0,0,0,0,1,1,0,1,0,6.98,3.28,2.13,1.31,0.257,1.32,0.289,66.00%,4.82,4.74,999
2546,Fidel Ulloa,COL,0,1,1,0,0,0,0,0,1,1,0,1,1,6.82,4.5,1.52,1.4,0.27,1.5,0.302,63.30%,5.67,5.31,999
2547,Peyton Glavine,WSN,0,1,1.1,0,0,0,0,0,1,1,0,1,1,6.86,3.88,1.77,1.31,0.259,1.4,0.291,65.30%,5.08,4.96,999
2548,Edgar Manzo,,1,1,2.1,0,0,0,0,0,3,1,0,1,1,4.1,3.8,1.08,1.28,0.288,1.56,0.297,63.50%,5.75,5.52,999
2549,Chris McElvain,TOR,1,1,4.1,0,0,0,0,0,4,3,1,3,2,5.69,4.19,1.36,1.44,0.263,1.49,0.279,65.80%,5.4,5.53,999
