#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
537,Kevin Newman,LAA,60,222,206,49,9,1,2,21,16,11,36,1,4,1,4.90%,16.20%,0.077,0.279,0.238,0.279,0.315,0.595,0.263,67,673.3
538,Tim Tawa,ARI,11,45,42,9,2,0,1,5,5,3,12,0,1,0,6.10%,25.60%,0.126,0.284,0.225,0.277,0.351,0.628,0.275,73,999
539,Edward Olivares,,8,25,23,6,1,0,1,3,3,2,4,0,1,0,6.20%,18.00%,0.13,0.286,0.25,0.305,0.38,0.686,0.3,89,999
540,Nick Madrigal,NYM,8,25,23,6,1,0,0,3,2,1,3,0,1,0,4.50%,11.60%,0.059,0.288,0.256,0.301,0.314,0.616,0.274,77,999
541,Brewer Hicklen,MIL,8,21,19,4,1,0,1,2,2,2,7,0,1,0,7.60%,34.70%,0.145,0.289,0.202,0.276,0.347,0.624,0.274,74,999
542,Nick Sogard,BOS,7,22,20,5,1,0,0,2,2,2,5,0,0,0,8.40%,23.10%,0.101,0.292,0.23,0.3,0.331,0.631,0.28,75,999
543,Jacob Amaya,CHW,4,14,13,3,1,0,0,1,1,1,3,0,0,0,7.20%,25.30%,0.098,0.275,0.213,0.272,0.311,0.583,0.259,66,999
544,DJ Stewart,PIT,25,80,69,15,3,0,3,9,9,9,21,1,1,0,11.10%,26.60%,0.163,0.265,0.213,0.315,0.377,0.691,0.306,93,999
545,Martín Maldonado,SDP,16,56,49,9,2,0,2,5,6,4,19,1,0,0,7.00%,33.70%,0.135,0.25,0.181,0.248,0.316,0.564,0.25,62,999
546,Gustavo Campero,LAA,4,14,13,3,1,0,0,2,1,1,3,0,1,0,6.40%,20.60%,0.139,0.277,0.236,0.3,0.375,0.675,0.295,90,748.5
547,Blake Hunt,SEA,4,13,12,2,1,0,0,1,1,1,4,0,0,0,5.40%,28.00%,0.12,0.259,0.2,0.251,0.32,0.571,0.251,67,999
548,Wilmer Flores,SFG,93,369,332,77,15,0,11,38,41,29,55,4,0,0,7.90%,14.80%,0.148,0.246,0.233,0.3,0.381,0.682,0.299,93,637.1
549,Jonathon Long,CHC,5,17,15,4,1,0,1,2,2,1,4,0,0,0,8.80%,24.30%,0.148,0.292,0.238,0.313,0.386,0.699,0.305,98,999
550,Keston Hiura,COL,9,33,30,7,1,0,1,4,4,2,10,1,0,0,6.90%,31.10%,0.196,0.325,0.247,0.313,0.442,0.756,0.326,96,744.3
551,Coco Montes,TBR,5,13,12,3,1,0,0,1,1,1,4,0,0,0,6.50%,27.90%,0.123,0.29,0.22,0.277,0.344,0.62,0.273,80,999
552,Taylor Trammell,HOU,45,122,108,22,4,0,4,14,12,11,38,1,3,1,9.20%,31.20%,0.152,0.268,0.201,0.282,0.353,0.636,0.281,83,999
