#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
31,Tanner Houck,BOS,29,40,179,8,7,16,0,1,177,78,17,160,56,8.03,2.84,2.83,0.87,0.255,1.31,0.308,70.70%,3.93,3.71,223.1
32,Kevin Gausman,TOR,32,32,194,12,11,17,0,0,184,87,25,190,58,8.81,2.68,3.29,1.16,0.245,1.24,0.297,71.20%,4.01,3.9,170.8
33,Grayson Rodriguez,BAL,28,28,154,11,8,17,0,0,132,58,17,171,51,9.99,2.98,3.35,0.99,0.224,1.18,0.287,75.00%,3.4,3.51,104.7
34,Zac Gallen,ARI,29,29,171,12,9,16,0,0,158,71,19,170,50,8.96,2.63,3.41,1,0.242,1.22,0.299,72.10%,3.72,3.62,121
35,Seth Lugo,KCR,31,31,187,11,11,16,0,0,187,86,23,162,51,7.81,2.44,3.2,1.09,0.257,1.27,0.302,69.80%,4.14,3.94,189.3
36,Jack Flaherty,DET,29,29,165,11,9,16,0,0,148,67,19,179,54,9.74,2.93,3.32,1.06,0.234,1.22,0.295,73.40%,3.68,3.64,136.3
37,Mitch Keller,PIT,31,31,179,12,10,16,0,0,177,80,21,167,53,8.41,2.66,3.16,1.08,0.251,1.28,0.301,71.30%,4.02,3.87,298.1
38,Luis Castillo,SEA,31,31,180,13,9,18,0,0,151,69,22,188,54,9.43,2.7,3.49,1.11,0.221,1.14,0.273,74.80%,3.43,3.7,95.9
39,Michael King,SDP,31,31,177,12,10,17,0,0,156,74,22,185,62,9.44,3.13,3.01,1.12,0.231,1.23,0.287,73.10%,3.77,3.86,63.1
40,Brayan Bello,BOS,29,29,164,10,10,15,0,0,166,75,16,153,58,8.42,3.18,2.65,0.89,0.258,1.36,0.317,70.60%,4.11,3.78,335.4
41,Tanner Bibee,CLE,29,29,168,12,9,16,0,0,149,68,21,171,48,9.16,2.58,3.55,1.14,0.231,1.17,0.282,73.40%,3.64,3.76,88.8
42,Nathan Eovaldi,TEX,29,29,173,11,9,16,0,0,158,74,21,164,51,8.54,2.65,3.22,1.11,0.239,1.21,0.287,71.70%,3.83,3.89,201.9
43,Freddy Peralta,MIL,31,31,170,13,9,18,0,0,138,67,23,191,60,10.1,3.19,3.16,1.21,0.215,1.17,0.269,75.10%,3.56,3.87,98.4
44,Shohei Ohtani,LAD,21,21,123,9,6,13,0,0,96,44,15,150,41,10.94,2.99,3.66,1.06,0.21,1.11,0.278,76.50%,3.2,3.4,1.6
45,Zach Eflin,BAL,29,29,175,11,10,16,0,0,171,76,23,148,33,7.64,1.68,4.55,1.17,0.25,1.16,0.29,70.40%,3.89,3.83,190.6
46,Shane McClanahan,TBR,26,34,159,8,6,15,0,1,139,64,18,163,45,9.24,2.57,3.59,1.03,0.234,1.16,0.293,72.20%,3.62,3.59,121.1
47,Spencer Schwellenbach,ATL,29,29,166,12,9,16,0,0,150,68,20,158,45,8.58,2.46,3.49,1.08,0.237,1.18,0.286,72.20%,3.7,3.76,83.9
48,Brady Singer,CIN,29,29,168,10,10,15,0,0,168,79,23,156,49,8.38,2.65,3.16,1.23,0.252,1.29,0.298,70.70%,4.24,4.1,344.2
49,Joe Ryan,MIN,28,28,155,11,8,16,0,0,131,62,23,167,37,9.66,2.14,4.52,1.36,0.223,1.08,0.27,74.10%,3.61,3.81,91.7
50,Shota Imanaga,CHC,29,29,173,11,9,16,0,0,158,73,25,167,38,8.68,1.97,4.41,1.31,0.237,1.13,0.279,72.10%,3.81,3.9,76.6
51,Jared Jones,PIT,28,36,157,8,7,16,0,1,137,64,17,158,55,9.09,3.17,2.86,1,0.232,1.23,0.287,73.00%,3.68,3.79,142.2
52,Ranger Suárez,PHI,28,40,163,7,6,15,0,1,156,72,18,146,51,8.04,2.79,2.88,0.98,0.249,1.27,0.298,70.60%,3.96,3.86,262.9
53,Bryce Miller,SEA,31,31,171,12,9,18,0,0,146,66,22,167,46,8.78,2.42,3.63,1.14,0.224,1.12,0.269,73.90%,3.5,3.8,78.9
54,Clay Holmes,NYM,23,49,160,8,5,14,0,1,149,62,12,156,63,8.75,3.53,2.48,0.66,0.239,1.32,0.3,73.70%,3.48,3.49,277.9
55,Nick Lodolo,CIN,24,24,134,9,8,13,0,0,123,57,17,144,44,9.73,2.99,3.25,1.17,0.235,1.25,0.291,73.70%,3.82,3.83,241.4
56,MacKenzie Gore,WSN,31,31,166,11,10,16,0,0,154,75,20,171,63,9.29,3.4,2.73,1.1,0.243,1.31,0.302,71.40%,4.09,3.97,204.6
57,Carlos Rodón,NYY,31,31,170,11,10,17,0,0,142,73,26,189,59,10,3.12,3.21,1.37,0.221,1.18,0.272,73.60%,3.86,4.09,131.6
58,Taj Bradley,TBR,29,29,160,11,9,16,0,0,140,65,20,169,53,9.54,2.99,3.18,1.14,0.228,1.21,0.282,73.90%,3.68,3.82,193.9
59,Kodai Senga,NYM,26,34,160,8,6,16,0,1,127,61,18,177,68,10.01,3.86,2.6,0.99,0.213,1.23,0.273,75.50%,3.43,3.8,152.1
60,Jesús Luzardo,PHI,26,41,158,6,6,14,0,1,142,68,22,164,50,9.38,2.86,3.28,1.24,0.234,1.22,0.285,72.80%,3.9,3.96,248.4
61,Bailey Ober,MIN,29,29,168,11,10,15,0,0,152,74,26,167,42,8.93,2.23,4.01,1.4,0.236,1.15,0.279,71.50%,3.98,4.06,81.3
62,Nick Pivetta,SDP,28,28,151,11,9,15,0,0,126,63,22,170,51,10.07,3.03,3.33,1.3,0.22,1.17,0.274,73.80%,3.75,3.95,190.3
63,Drew Rasmussen,TBR,19,43,127,4,3,12,0,1,109,45,12,131,34,9.26,2.37,3.9,0.86,0.226,1.12,0.286,74.70%,3.17,3.27,238.4
64,Reynaldo López,ATL,31,31,172,11,10,16,0,0,153,76,22,174,60,9.11,3.16,2.88,1.14,0.237,1.24,0.292,71.10%,4,3.98,165.9
65,Bryan Woo,SEA,26,26,134,11,7,15,0,0,111,49,17,132,33,8.9,2.2,4.04,1.12,0.219,1.08,0.264,75.10%,3.29,3.65,136.1
66,Kumar Rocker,TEX,23,33,117,6,5,13,0,1,101,45,13,130,38,9.95,2.88,3.45,1.01,0.226,1.18,0.29,74.50%,3.45,3.5,278.5
67,Clarke Schmidt,NYY,24,41,148,6,5,14,0,1,130,60,19,152,48,9.28,2.94,3.16,1.15,0.228,1.21,0.279,74.00%,3.68,3.88,227.1
68,Yu Darvish,SDP,29,29,165,11,10,15,0,0,150,73,23,155,48,8.46,2.63,3.22,1.27,0.236,1.2,0.278,71.60%,3.97,4.13,231.6
69,Ryan Pepiot,TBR,29,29,156,11,9,16,0,0,132,63,20,165,56,9.55,3.21,2.97,1.18,0.222,1.2,0.272,74.40%,3.66,3.95,169.3
70,Brandon Pfaadt,ARI,23,33,136,6,5,13,0,1,130,57,17,133,31,8.78,2.04,4.31,1.15,0.244,1.18,0.295,72.20%,3.77,3.68,171.3
71,José Soriano,LAA,26,26,146,9,9,14,0,0,135,65,14,136,65,8.42,3.99,2.11,0.87,0.243,1.37,0.299,71.60%,4.01,4.02,331.5
72,Reese Olson,DET,26,26,134,10,8,14,0,0,123,55,14,126,44,8.47,2.99,2.83,0.93,0.238,1.25,0.29,72.60%,3.7,3.76,258.5
73,Nick Martinez,CIN,23,49,166,4,4,13,0,1,158,76,23,145,47,7.83,2.56,3.05,1.27,0.245,1.23,0.282,70.50%,4.14,4.23,333.8
74,David Peterson,NYM,26,32,147,8,7,14,0,1,137,62,15,141,57,8.63,3.51,2.46,0.91,0.24,1.32,0.295,72.60%,3.83,3.87,365.7
75,Luis Severino,ATH,31,31,176,11,10,16,0,0,165,79,22,164,59,8.4,3.02,2.79,1.15,0.242,1.27,0.287,71.60%,4.04,4.1,307.5
76,Ryan Feltner,COL,31,31,169,9,12,13,0,0,179,91,23,143,61,7.61,3.23,2.36,1.23,0.269,1.42,0.313,67.70%,4.84,4.46,678.3
77,José Berríos,TOR,32,32,196,11,12,16,0,0,195,96,28,165,57,7.54,2.63,2.87,1.27,0.254,1.28,0.291,69.20%,4.38,4.33,240.6
78,Mason Miller,ATH,0,67,67,4,3,0,30,2,42,17,6,99,24,13.25,3.26,4.06,0.79,0.175,0.98,0.268,82.80%,2.23,2.58,44.3
79,Gavin Williams,CLE,26,26,132,10,8,14,0,0,115,54,15,136,52,9.3,3.57,2.6,1,0.228,1.27,0.285,73.70%,3.69,3.87,241.1
80,Chris Bassitt,TOR,31,31,176,10,11,15,0,0,172,84,23,157,61,8.06,3.12,2.58,1.17,0.251,1.32,0.295,70.20%,4.3,4.24,338.9
81,Robbie Ray,SFG,28,28,149,11,9,15,0,0,125,62,20,165,55,10.01,3.35,2.99,1.18,0.224,1.22,0.282,73.50%,3.77,3.9,159.4
82,Michael Wacha,KCR,28,28,152,9,10,14,0,0,147,71,20,133,47,7.82,2.79,2.81,1.2,0.248,1.27,0.288,70.20%,4.2,4.22,277.5
83,Jhoan Duran,MIN,0,65,65,3,3,0,22,5,49,18,4,82,22,11.37,3.05,3.73,0.58,0.204,1.09,0.292,78.80%,2.5,2.63,65.5
84,Sean Manaea,NYM,28,28,156,11,9,15,0,0,135,67,22,156,56,8.97,3.22,2.79,1.24,0.226,1.22,0.271,73.20%,3.86,4.17,195.8
85,Andre Pallante,STL,24,41,155,5,5,13,0,1,154,70,12,121,62,7.01,3.63,1.93,0.68,0.256,1.4,0.304,70.20%,4.04,3.93,497.8
86,Jake Irvin,WSN,29,29,164,10,10,14,0,0,159,79,22,136,54,7.48,2.98,2.51,1.19,0.251,1.3,0.288,69.40%,4.34,4.36,428
87,Ryan Weathers,MIA,26,32,142,7,7,13,0,1,137,65,17,127,51,8.09,3.24,2.5,1.06,0.247,1.33,0.294,71.10%,4.12,4.12,356.3
88,Edwin Díaz,NYM,0,65,65,3,3,0,36,2,43,17,6,93,25,12.94,3.45,3.75,0.8,0.183,1.05,0.272,81.80%,2.41,2.74,39.6
89,Davis Martin,CHW,24,24,125,8,9,12,0,0,121,58,16,114,46,8.27,3.33,2.48,1.13,0.247,1.34,0.293,71.40%,4.2,4.21,654.1
90,Emmanuel Clase,CLE,0,66,66,3,3,0,34,2,51,18,4,69,16,9.45,2.16,4.39,0.58,0.212,1.02,0.278,76.80%,2.52,2.74,34.6
91,Germán Márquez,COL,28,28,153,8,11,12,0,0,162,84,22,126,53,7.4,3.1,2.38,1.27,0.271,1.4,0.312,66.90%,4.91,4.52,651.6
