#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1654,Austin Kitchen,685116,685116,27910,12112,,SEA,RP,RP,Kitchen,Austin,Kitchen,Austin
1655,Brandon Eisert,685126,685126,27668,12108,*051dw*,CHW,RP,RP,Eisert,Brandon,Eisert,Brandon
1656,Wade Meckler,685133,685133,31490,11842,*066cn*,SF,OF,OF,Meckler,Wade,Meckler,Wade
1657,Tanner Gordon,685299,685299,27669,12123,*05152*,COL,RP,RP,Gordon,Tanner,Gordon,Tanner
1658,Matt Gorski,685301,685301,sa3010399,12357,*0511z*,PIT,OF,OF,Gorski,Matt,Gorski,Matt
1659,Andrew Saalfrank,685314,685314,26203,11856,*0514i*,ARI,RP,RP,Saalfrank,Andrew,Saalfrank,Andrew
1660,Misael Tamarez,685377,685377,sa3009632,12052,*05rkf*,HOU,SP,SP,Tamarez,Misael,Tamarez,Misael
1661,Kenedy Corona,685744,685744,sa3009845,11995,*05aid*,HOU,OF,OF,Corona,Kenedy,Corona,Kenedy
1662,Hunter Bigge,685801,685801,26259,12122,*0519h*,TB,RP,RP,Bigge,Hunter,Bigge,Hunter
1663,Sal Frelick,686217,686217,29622,11581,*05rb1*,MIL,OF,3B/OF,Frelick,Sal,Frelick,Sal
1664,Emmet Sheehan,686218,686218,29839,11811,*05y2l*,LAD,SP,SP,Sheehan,Emmet,Sheehan,Emmet
1665,Amos Willingham,686294,686294,26128,11818,*051d7*,ATL,RP,RP,Willingham,Amos,Willingham,Amos
1666,Drew Millas,686452,686452,25643,11849,*0515f*,WSH,C,C,Millas,Drew,Millas,Drew
1667,Vinnie Pasquantino,686469,686469,27676,11415,*05184*,KC,1B,1B,Pasquantino,Vinnie,Pasquantino,Vinnie
1668,Tyler Tolbert,686475,686475,sa3010337,12041,*0519u*,KC,2B,2B,Tolbert,Tyler,Tolbert,Tyler
1669,Logan Driscoll,686482,686482,25475,12172,*0512b*,TB,C,C,Driscoll,Logan,Driscoll,Logan
1670,Cam Eden,686490,686490,25476,11872,,NYY,OF,OF,Eden,Cam,Eden,Cam
1671,Dominic Canzone,686527,686527,26438,11778,*05161*,SEA,OF,OF,Canzone,Dominic,Canzone,Dominic
1672,Andre Lipcius,686531,686531,25822,11673,*0512j*,CHW,3B,3B,Lipcius,Andre,Lipcius,Andre
1673,Declan Cronin,686539,686539,25645,11834,*06ejy*,MIA,RP,RP,Cronin,Declan,Cronin,Declan
1674,Oliver Dunn,686554,686554,26295,12036,*0518b*,MIL,3B,3B,Dunn,Oliver,Dunn,Oliver
1675,Isaac Collins,686555,686555,25477,12179,*0516n*,MIL,2B,2B,Collins,Isaac,Collins,Isaac
1676,Jonathan Cannon,686563,686563,31730,12078,*05rb2*,CHW,SP,SP,Cannon,Jonathan,Cannon,Jonathan
1677,Justin Slaten,686580,686580,25648,12008,*0512q*,BOS,RP,RP,Slaten,Justin,Slaten,Justin
1678,Ken Waldichuk,686610,686610,27681,11422,*0513y*,ATH,SP,SP,Waldichuk,Ken,Waldichuk,Ken
1679,Dylan Crews,686611,686611,33541,11922,*0596e*,WSH,OF,OF,Crews,Dylan,Crews,Dylan
1680,Hunter Brown,686613,686613,25880,11435,*05144*,HOU,SP,SP,Brown,Hunter,Brown,Hunter
1681,Fraser Ellard,686642,686642,29530,12136,*05yne*,CHW,RP,RP,Ellard,Fraser,Ellard,Fraser
1682,Levi Stoudt,686651,686651,25650,11432,*0512k*,BAL,RP,RP,Stoudt,Levi,Stoudt,Levi
1683,Ty Adcock,686654,686654,25651,11807,,NYM,RP,RP,Adcock,Ty,Adcock,Ty
1684,Brenton Doyle,686668,686668,25479,11653,*0513l*,COL,OF,OF,Doyle,Brenton,Doyle,Brenton
1685,Korey Lee,686676,686676,25543,11313,*0510z*,CHW,C,C,Lee,Korey,Lee,Korey
1686,Michael Massey,686681,686681,27684,11516,*05139*,KC,2B,2B,Massey,Michael,Massey,Michael
1687,Carson Spiers,686730,686730,27685,11854,*05r3k*,CIN,RP,RP,Spiers,Carson,Spiers,Carson
1688,Joe La Sorsa,686747,686747,25481,11798,*06l4d*,CIN,RP,RP,La Sorsa,Joe,La Sorsa,Joe
1689,Seth Johnson,686751,686751,26020,11141,*0511t*,PHI,SP,SP,Johnson,Seth,Johnson,Seth
1690,Ryan Pepiot,686752,686752,26221,11059,*0512m*,TB,SP,SP,Pepiot,Ryan,Pepiot,Ryan
1691,Drey Jameson,686753,686753,26260,11403,*0511r*,ARI,RP,RP,Jameson,Drey,Jameson,Drey
1692,TJ Hopkins,686759,686759,25482,11801,*0516l*,DET,OF,OF,Hopkins,TJ,Hopkins,TJ
1693,Nick Sogard,686765,686765,25483,12138,*0519f*,BOS,2B,2B/SS/ 3B,Sogard,Nick,Sogard,Nick
1694,Pedro Pages,686780,686780,25782,10880,*0514k*,STL,C,C,Pages,Pedro,Pagés,Pedro
1695,Blake Walston,686796,686796,26270,11033,*050s3*,ARI,RP,RP,Walston,Blake,Walston,Blake
1696,Brooks Lee,686797,686797,31595,11740,*04yig*,MIN,SS,2B/SS/ 3B,Lee,Brooks,Lee,Brooks
1697,Jack Kochanowicz,686799,686799,27688,11967,*0512u*,LAA,SP,SP,Kochanowicz,Jack,Kochanowicz,Jack
1698,Will Brennan,686823,686823,25660,11578,*05165*,CLE,OF,OF,Brennan,Will,Brennan,Will
1699,Bryce Jarvis,686826,686826,27477,11031,*05gvt*,ARI,RP,RP,Jarvis,Bryce,Jarvis,Bryce
1700,Colby White,686831,686831,sa3011200,11410,*0514q*,NYY,RP,RP,White,Colby,White,Colby
1701,Brendan White,686839,686839,26024,11674,*066p9*,DET,RP,RP,White,Brendan,White,Brendan
1702,McKinley Moore,686842,686842,25663,11783,*051ai*,NYY,RP,RP,Moore,McKinley,Moore,McKinley
1703,Reggie Crawford,686846,686846,sa3020457,12247,*05uee*,SF,SP,SP,Crawford,Reggie,Crawford,Reggie
1704,Joey Wiemer,686894,686894,27690,11406,*05jq3*,KC,OF,OF,Wiemer,Joey,Wiemer,Joey
1705,Mason Barnett,686930,686930,sa3020622,12349,*0630h*,ATH,SP,SP,Barnett,Mason,Barnett,Mason
1706,Drake Baldwin,686948,686948,sa3019920,12203,*0630d*,ATL,C,C,Baldwin,Drake,Baldwin,Drake
1707,Cole Waites,686972,686972,25665,11571,*051dv*,SF,RP,RP,Waites,Cole,Waites,Cole
1708,Louis Varland,686973,686973,27691,11424,*051bm*,MIN,RP,RP,Varland,Louis,Varland,Louis
1709,Justin Sterner,686993,686993,27694,12097,*066n1*,ATH,RP,RP,Sterner,Justin,Sterner,Justin
1710,Brandon Young,687064,687064,sa3014926,12223,*05r3a*,BAL,RP,RP,Young,Brandon,Young,Brandon
1711,Eric Yang,687066,687066,27698,12134,*0515n*,CIN,C,C,Yang,Eric,Yang,Eric
1712,Brandon Sproat,687075,687075,sa3023499,12198,*0515o*,NYM,SP,SP,Sproat,Brandon,Sproat,Brandon
1713,Vaughn Grissom,687093,687093,26031,11531,*0518n*,BOS,2B,2B,Grissom,Vaughn,Grissom,Vaughn
1714,Bradley Blalock,687134,687134,26419,11966,*0579z*,COL,SP,SP,Blalock,Bradley,Blalock,Bradley
1715,Evan Justice,687145,687145,30008,11845,*05yae*,COL,RP,RP,Justice,Evan,Justice,Evan
1716,Zach Maxwell,687209,687209,sa3020255,12206,*0648f*,CIN,RP,RP,Maxwell,Zach,Maxwell,Zach
1717,Dalton Rushing,687221,687221,sa3019892,12190,*05xtz*,LAD,C,C,Rushing,Dalton,Rushing,Dalton
1718,Darell Hernaiz,687231,687231,26224,11920,*05145*,ATH,3B,SS/3B,Hernaiz,Darell,Hernaiz,Darell
1719,Zach Neto,687263,687263,31347,11741,*05xu5*,LAA,SS,SS,Neto,Zach,Neto,Zach
1720,K.C. Hunt,687268,687268,sa3022937,12218,,MIL,SP,SP,Hunt,K.C.,Hunt,K.C.
1721,Quinn Mathews,687273,687273,sa3023407,12192,*060gd*,STL,SP,SP,Mathews,Quinn,Mathews,Quinn
1722,Gabriel Rincones Jr.,687282,687282,sa3020758,12358,*0630f*,PHI,OF,OF,Rincones Jr.,Gabriel,Rincones Jr.,Gabriel
1723,Kevin Kelly,687330,687330,25679,11729,*051eh*,TB,RP,RP,Kelly,Kevin,Kelly,Kevin
1724,Connor Gillispie,687362,687362,26171,12142,*0516q*,MIA,RP,RP,Gillispie,Connor,Gillispie,Connor
1725,Victor Scott II,687363,687363,31349,11947,*0648z*,STL,OF,OF,Scott II,Victor,Scott II,Victor
1726,Orlando Ribalta,687377,687377,26247,12153,*0519c*,WSH,RP,RP,Ribalta,Orlando,Ribalta,Orlando
